Id,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore
17010,78,2016,78-2016-1,157,162,2016-08-26 18:30:00,FT,6,0
17005,78,2016,78-2016-1,165,164,2016-08-27 13:30:00,FT,2,1
17006,78,2016,78-2016-1,169,174,2016-08-27 13:30:00,FT,1,0
17007,78,2016,78-2016-1,170,161,2016-08-27 13:30:00,FT,0,2
17009,78,2016,78-2016-1,175,184,2016-08-27 13:30:00,FT,1,1
17008,78,2016,78-2016-1,192,181,2016-08-27 13:30:00,FT,2,0
17004,78,2016,78-2016-1,163,168,2016-08-27 16:30:00,FT,2,1
17003,78,2016,78-2016-1,159,160,2016-08-28 13:30:00,FT,2,1
17002,78,2016,78-2016-1,167,173,2016-08-28 15:30:00,FT,2,2
17001,78,2016,78-2016-2,174,157,2016-09-09 18:30:00,FT,0,2
16998,78,2016,78-2016-2,160,163,2016-09-10 13:30:00,FT,3,1
17000,78,2016,78-2016-2,161,192,2016-09-10 13:30:00,FT,0,0
16996,78,2016,78-2016-2,168,175,2016-09-10 13:30:00,FT,3,1
16999,78,2016,78-2016-2,181,169,2016-09-10 13:30:00,FT,1,0
16997,78,2016,78-2016-2,184,159,2016-09-10 13:30:00,FT,0,2
16995,78,2016,78-2016-2,173,165,2016-09-10 16:30:00,FT,1,0
16994,78,2016,78-2016-2,162,170,2016-09-11 13:30:00,FT,1,2
16993,78,2016,78-2016-2,164,167,2016-09-11 15:30:00,FT,4,4
16992,78,2016,78-2016-3,192,160,2016-09-16 18:30:00,FT,3,0
16988,78,2016,78-2016-3,157,184,2016-09-17 13:30:00,FT,3,1
16989,78,2016,78-2016-3,165,181,2016-09-17 13:30:00,FT,6,0
16987,78,2016,78-2016-3,167,161,2016-09-17 13:30:00,FT,0,0
16990,78,2016,78-2016-3,169,168,2016-09-17 13:30:00,FT,2,1
16991,78,2016,78-2016-3,175,173,2016-09-17 13:30:00,FT,0,4
16986,78,2016,78-2016-3,163,162,2016-09-17 16:30:00,FT,4,1
16985,78,2016,78-2016-3,170,164,2016-09-18 13:30:00,FT,1,3
16984,78,2016,78-2016-3,159,174,2016-09-18 15:30:00,FT,2,0
16981,78,2016,78-2016-4,160,175,2016-09-20 18:00:00,FT,1,0
16983,78,2016,78-2016-4,161,165,2016-09-20 18:00:00,FT,1,5
16982,78,2016,78-2016-4,181,167,2016-09-20 18:00:00,FT,1,1
16980,78,2016,78-2016-4,184,169,2016-09-20 18:00:00,FT,0,2
16976,78,2016,78-2016-4,157,159,2016-09-21 18:00:00,FT,3,0
16979,78,2016,78-2016-4,162,164,2016-09-21 18:00:00,FT,1,2
16975,78,2016,78-2016-4,168,170,2016-09-21 18:00:00,FT,0,0
16978,78,2016,78-2016-4,173,163,2016-09-21 18:00:00,FT,1,1
16977,78,2016,78-2016-4,174,192,2016-09-21 18:00:00,FT,1,3
16974,78,2016,78-2016-5,165,160,2016-09-23 18:30:00,FT,3,1
16969,78,2016,78-2016-5,163,184,2016-09-24 13:30:00,FT,2,0
16972,78,2016,78-2016-5,164,168,2016-09-24 13:30:00,FT,2,3
16970,78,2016,78-2016-5,169,159,2016-09-24 13:30:00,FT,3,3
16971,78,2016,78-2016-5,170,181,2016-09-24 13:30:00,FT,1,0
16973,78,2016,78-2016-5,175,157,2016-09-24 13:30:00,FT,0,1
16968,78,2016,78-2016-5,162,161,2016-09-24 16:30:00,FT,2,1
16967,78,2016,78-2016-5,167,174,2016-09-25 13:30:00,FT,2,1
16966,78,2016,78-2016-5,192,173,2016-09-25 15:45:00,FT,1,1
16965,78,2016,78-2016-6,173,170,2016-09-30 18:30:00,FT,2,1
16960,78,2016,78-2016-6,157,192,2016-10-01 13:30:00,FT,1,1
16962,78,2016,78-2016-6,159,175,2016-10-01 13:30:00,FT,2,0
16963,78,2016,78-2016-6,160,169,2016-10-01 13:30:00,FT,1,0
16964,78,2016,78-2016-6,181,162,2016-10-01 13:30:00,FT,2,2
16961,78,2016,78-2016-6,184,167,2016-10-01 13:30:00,FT,1,2
16959,78,2016,78-2016-6,168,165,2016-10-01 16:30:00,FT,2,0
16958,78,2016,78-2016-6,161,164,2016-10-02 13:30:00,FT,0,0
16957,78,2016,78-2016-6,174,163,2016-10-02 15:30:00,FT,4,0
16956,78,2016,78-2016-7,165,159,2016-10-14 18:30:00,FT,1,1
16952,78,2016,78-2016-7,163,175,2016-10-15 13:30:00,FT,0,0
16951,78,2016,78-2016-7,167,160,2016-10-15 13:30:00,FT,2,1
16953,78,2016,78-2016-7,169,157,2016-10-15 13:30:00,FT,2,2
16954,78,2016,78-2016-7,170,174,2016-10-15 13:30:00,FT,1,1
16955,78,2016,78-2016-7,192,184,2016-10-15 13:30:00,FT,2,1
16950,78,2016,78-2016-7,162,168,2016-10-15 16:30:00,FT,2,1
16949,78,2016,78-2016-7,164,181,2016-10-16 13:30:00,FT,2,1
16948,78,2016,78-2016-7,161,173,2016-10-16 15:30:00,FT,0,1
16947,78,2016,78-2016-8,175,169,2016-10-21 18:30:00,FT,0,3
16944,78,2016,78-2016-8,159,192,2016-10-22 13:30:00,FT,2,1
16945,78,2016,78-2016-8,160,170,2016-10-22 13:30:00,FT,2,1
16942,78,2016,78-2016-8,168,167,2016-10-22 13:30:00,FT,0,3
16946,78,2016,78-2016-8,181,161,2016-10-22 13:30:00,FT,3,1
16943,78,2016,78-2016-8,184,165,2016-10-22 13:30:00,FT,3,3
16941,78,2016,78-2016-8,157,163,2016-10-22 16:30:00,FT,2,0
16940,78,2016,78-2016-8,173,162,2016-10-23 13:30:00,FT,3,1
16939,78,2016,78-2016-8,174,164,2016-10-23 15:30:00,FT,3,0
16938,78,2016,78-2016-9,163,169,2016-10-28 18:30:00,FT,0,0
16936,78,2016,78-2016-9,161,168,2016-10-29 13:30:00,FT,1,2
16937,78,2016,78-2016-9,162,160,2016-10-29 13:30:00,FT,1,3
16934,78,2016,78-2016-9,164,184,2016-10-29 13:30:00,FT,2,0
16933,78,2016,78-2016-9,170,157,2016-10-29 13:30:00,FT,1,3
16935,78,2016,78-2016-9,181,173,2016-10-29 13:30:00,FT,0,2
16932,78,2016,78-2016-9,165,174,2016-10-29 16:30:00,FT,0,0
16931,78,2016,78-2016-9,167,159,2016-10-30 14:30:00,FT,1,0
16930,78,2016,78-2016-9,192,175,2016-10-30 16:30:00,FT,3,0
16929,78,2016,78-2016-10,159,163,2016-11-04 19:30:00,FT,3,0
16925,78,2016,78-2016-10,157,167,2016-11-05 14:30:00,FT,1,1
16928,78,2016,78-2016-10,160,161,2016-11-05 14:30:00,FT,0,3
16924,78,2016,78-2016-10,168,181,2016-11-05 14:30:00,FT,3,2
16927,78,2016,78-2016-10,175,165,2016-11-05 14:30:00,FT,2,5
16926,78,2016,78-2016-10,184,170,2016-11-05 14:30:00,FT,0,2
16923,78,2016,78-2016-10,169,192,2016-11-05 17:30:00,FT,1,0
16922,78,2016,78-2016-10,173,164,2016-11-06 14:30:00,FT,3,1
16921,78,2016,78-2016-10,174,162,2016-11-06 16:30:00,FT,3,1
16920,78,2016,78-2016-11,168,173,2016-11-18 19:30:00,FT,2,3
16919,78,2016,78-2016-11,161,174,2016-11-19 14:30:00,FT,0,1
16915,78,2016,78-2016-11,163,192,2016-11-19 14:30:00,FT,1,2
16917,78,2016,78-2016-11,164,160,2016-11-19 14:30:00,FT,4,2
16916,78,2016,78-2016-11,170,159,2016-11-19 14:30:00,FT,0,0
16918,78,2016,78-2016-11,181,184,2016-11-19 14:30:00,FT,0,1
16914,78,2016,78-2016-11,165,157,2016-11-19 17:30:00,FT,1,0
16913,78,2016,78-2016-11,167,175,2016-11-20 14:30:00,FT,2,2
16912,78,2016,78-2016-11,162,169,2016-11-20 16:30:00,FT,1,2
16911,78,2016,78-2016-12,160,173,2016-11-25 19:30:00,FT,1,4
16906,78,2016,78-2016-12,163,167,2016-11-26 14:30:00,FT,1,1
16907,78,2016,78-2016-12,169,165,2016-11-26 14:30:00,FT,2,1
16910,78,2016,78-2016-12,175,162,2016-11-26 14:30:00,FT,2,2
16908,78,2016,78-2016-12,184,161,2016-11-26 14:30:00,FT,1,1
16909,78,2016,78-2016-12,192,170,2016-11-26 14:30:00,FT,0,0
16905,78,2016,78-2016-12,157,168,2016-11-26 17:30:00,FT,2,1
16904,78,2016,78-2016-12,174,181,2016-11-27 14:30:00,FT,3,1
16903,78,2016,78-2016-12,159,164,2016-11-27 16:30:00,FT,2,1
16902,78,2016,78-2016-13,164,157,2016-12-02 19:30:00,FT,1,3
16900,78,2016,78-2016-13,161,159,2016-12-03 14:30:00,FT,2,3
16901,78,2016,78-2016-13,162,184,2016-12-03 14:30:00,FT,2,1
16899,78,2016,78-2016-13,165,163,2016-12-03 14:30:00,FT,4,1
16897,78,2016,78-2016-13,167,192,2016-12-03 14:30:00,FT,4,0
16898,78,2016,78-2016-13,168,160,2016-12-03 14:30:00,FT,1,1
16896,78,2016,78-2016-13,173,174,2016-12-03 17:30:00,FT,2,1
16895,78,2016,78-2016-13,181,175,2016-12-04 14:30:00,FT,0,2
