Id,FixturesId,LeagueApiId,SeasonApiId,RoundApiId,HomeTeamId,AwayTeamId,DateUtc,StatusShort,HomeScore,AwayScore,Day,Month,Year
0,17010,78,2016,78-2016-1,157,162,2016-08-26 18:30:00,FT,6,0,26,8,2016
1,17005,78,2016,78-2016-1,165,164,2016-08-27 13:30:00,FT,2,1,27,8,2016
2,17006,78,2016,78-2016-1,169,174,2016-08-27 13:30:00,FT,1,0,27,8,2016
3,17007,78,2016,78-2016-1,170,161,2016-08-27 13:30:00,FT,0,2,27,8,2016
4,17009,78,2016,78-2016-1,175,184,2016-08-27 13:30:00,FT,1,1,27,8,2016
5,17008,78,2016,78-2016-1,192,181,2016-08-27 13:30:00,FT,2,0,27,8,2016
6,17004,78,2016,78-2016-1,163,168,2016-08-27 16:30:00,FT,2,1,27,8,2016
7,17003,78,2016,78-2016-1,159,160,2016-08-28 13:30:00,FT,2,1,28,8,2016
8,17002,78,2016,78-2016-1,167,173,2016-08-28 15:30:00,FT,2,2,28,8,2016
9,17001,78,2016,78-2016-2,174,157,2016-09-09 18:30:00,FT,0,2,9,9,2016
10,16998,78,2016,78-2016-2,160,163,2016-09-10 13:30:00,FT,3,1,10,9,2016
11,17000,78,2016,78-2016-2,161,192,2016-09-10 13:30:00,FT,0,0,10,9,2016
12,16996,78,2016,78-2016-2,168,175,2016-09-10 13:30:00,FT,3,1,10,9,2016
13,16999,78,2016,78-2016-2,181,169,2016-09-10 13:30:00,FT,1,0,10,9,2016
14,16997,78,2016,78-2016-2,184,159,2016-09-10 13:30:00,FT,0,2,10,9,2016
15,16995,78,2016,78-2016-2,173,165,2016-09-10 16:30:00,FT,1,0,10,9,2016
16,16994,78,2016,78-2016-2,162,170,2016-09-11 13:30:00,FT,1,2,11,9,2016
17,16993,78,2016,78-2016-2,164,167,2016-09-11 15:30:00,FT,4,4,11,9,2016
18,16992,78,2016,78-2016-3,192,160,2016-09-16 18:30:00,FT,3,0,16,9,2016
19,16988,78,2016,78-2016-3,157,184,2016-09-17 13:30:00,FT,3,1,17,9,2016
20,16989,78,2016,78-2016-3,165,181,2016-09-17 13:30:00,FT,6,0,17,9,2016
21,16987,78,2016,78-2016-3,167,161,2016-09-17 13:30:00,FT,0,0,17,9,2016
22,16990,78,2016,78-2016-3,169,168,2016-09-17 13:30:00,FT,2,1,17,9,2016
23,16991,78,2016,78-2016-3,175,173,2016-09-17 13:30:00,FT,0,4,17,9,2016
24,16986,78,2016,78-2016-3,163,162,2016-09-17 16:30:00,FT,4,1,17,9,2016
25,16985,78,2016,78-2016-3,170,164,2016-09-18 13:30:00,FT,1,3,18,9,2016
26,16984,78,2016,78-2016-3,159,174,2016-09-18 15:30:00,FT,2,0,18,9,2016
27,16981,78,2016,78-2016-4,160,175,2016-09-20 18:00:00,FT,1,0,20,9,2016
28,16983,78,2016,78-2016-4,161,165,2016-09-20 18:00:00,FT,1,5,20,9,2016
29,16982,78,2016,78-2016-4,181,167,2016-09-20 18:00:00,FT,1,1,20,9,2016
30,16980,78,2016,78-2016-4,184,169,2016-09-20 18:00:00,FT,0,2,20,9,2016
31,16976,78,2016,78-2016-4,157,159,2016-09-21 18:00:00,FT,3,0,21,9,2016
32,16979,78,2016,78-2016-4,162,164,2016-09-21 18:00:00,FT,1,2,21,9,2016
33,16975,78,2016,78-2016-4,168,170,2016-09-21 18:00:00,FT,0,0,21,9,2016
34,16978,78,2016,78-2016-4,173,163,2016-09-21 18:00:00,FT,1,1,21,9,2016
35,16977,78,2016,78-2016-4,174,192,2016-09-21 18:00:00,FT,1,3,21,9,2016
36,16974,78,2016,78-2016-5,165,160,2016-09-23 18:30:00,FT,3,1,23,9,2016
37,16969,78,2016,78-2016-5,163,184,2016-09-24 13:30:00,FT,2,0,24,9,2016
38,16972,78,2016,78-2016-5,164,168,2016-09-24 13:30:00,FT,2,3,24,9,2016
39,16970,78,2016,78-2016-5,169,159,2016-09-24 13:30:00,FT,3,3,24,9,2016
40,16971,78,2016,78-2016-5,170,181,2016-09-24 13:30:00,FT,1,0,24,9,2016
41,16973,78,2016,78-2016-5,175,157,2016-09-24 13:30:00,FT,0,1,24,9,2016
42,16968,78,2016,78-2016-5,162,161,2016-09-24 16:30:00,FT,2,1,24,9,2016
43,16967,78,2016,78-2016-5,167,174,2016-09-25 13:30:00,FT,2,1,25,9,2016
44,16966,78,2016,78-2016-5,192,173,2016-09-25 15:45:00,FT,1,1,25,9,2016
45,16965,78,2016,78-2016-6,173,170,2016-09-30 18:30:00,FT,2,1,30,9,2016
46,16960,78,2016,78-2016-6,157,192,2016-10-01 13:30:00,FT,1,1,1,10,2016
47,16962,78,2016,78-2016-6,159,175,2016-10-01 13:30:00,FT,2,0,1,10,2016
48,16963,78,2016,78-2016-6,160,169,2016-10-01 13:30:00,FT,1,0,1,10,2016
49,16964,78,2016,78-2016-6,181,162,2016-10-01 13:30:00,FT,2,2,1,10,2016
50,16961,78,2016,78-2016-6,184,167,2016-10-01 13:30:00,FT,1,2,1,10,2016
51,16959,78,2016,78-2016-6,168,165,2016-10-01 16:30:00,FT,2,0,1,10,2016
52,16958,78,2016,78-2016-6,161,164,2016-10-02 13:30:00,FT,0,0,2,10,2016
53,16957,78,2016,78-2016-6,174,163,2016-10-02 15:30:00,FT,4,0,2,10,2016
54,16956,78,2016,78-2016-7,165,159,2016-10-14 18:30:00,FT,1,1,14,10,2016
55,16952,78,2016,78-2016-7,163,175,2016-10-15 13:30:00,FT,0,0,15,10,2016
56,16951,78,2016,78-2016-7,167,160,2016-10-15 13:30:00,FT,2,1,15,10,2016
57,16953,78,2016,78-2016-7,169,157,2016-10-15 13:30:00,FT,2,2,15,10,2016
58,16954,78,2016,78-2016-7,170,174,2016-10-15 13:30:00,FT,1,1,15,10,2016
59,16955,78,2016,78-2016-7,192,184,2016-10-15 13:30:00,FT,2,1,15,10,2016
60,16950,78,2016,78-2016-7,162,168,2016-10-15 16:30:00,FT,2,1,15,10,2016
61,16949,78,2016,78-2016-7,164,181,2016-10-16 13:30:00,FT,2,1,16,10,2016
62,16948,78,2016,78-2016-7,161,173,2016-10-16 15:30:00,FT,0,1,16,10,2016
63,16947,78,2016,78-2016-8,175,169,2016-10-21 18:30:00,FT,0,3,21,10,2016
64,16944,78,2016,78-2016-8,159,192,2016-10-22 13:30:00,FT,2,1,22,10,2016
65,16945,78,2016,78-2016-8,160,170,2016-10-22 13:30:00,FT,2,1,22,10,2016
66,16942,78,2016,78-2016-8,168,167,2016-10-22 13:30:00,FT,0,3,22,10,2016
67,16946,78,2016,78-2016-8,181,161,2016-10-22 13:30:00,FT,3,1,22,10,2016
68,16943,78,2016,78-2016-8,184,165,2016-10-22 13:30:00,FT,3,3,22,10,2016
69,16941,78,2016,78-2016-8,157,163,2016-10-22 16:30:00,FT,2,0,22,10,2016
70,16940,78,2016,78-2016-8,173,162,2016-10-23 13:30:00,FT,3,1,23,10,2016
71,16939,78,2016,78-2016-8,174,164,2016-10-23 15:30:00,FT,3,0,23,10,2016
72,16938,78,2016,78-2016-9,163,169,2016-10-28 18:30:00,FT,0,0,28,10,2016
73,16936,78,2016,78-2016-9,161,168,2016-10-29 13:30:00,FT,1,2,29,10,2016
74,16937,78,2016,78-2016-9,162,160,2016-10-29 13:30:00,FT,1,3,29,10,2016
75,16934,78,2016,78-2016-9,164,184,2016-10-29 13:30:00,FT,2,0,29,10,2016
76,16933,78,2016,78-2016-9,170,157,2016-10-29 13:30:00,FT,1,3,29,10,2016
77,16935,78,2016,78-2016-9,181,173,2016-10-29 13:30:00,FT,0,2,29,10,2016
78,16932,78,2016,78-2016-9,165,174,2016-10-29 16:30:00,FT,0,0,29,10,2016
79,16931,78,2016,78-2016-9,167,159,2016-10-30 14:30:00,FT,1,0,30,10,2016
80,16930,78,2016,78-2016-9,192,175,2016-10-30 16:30:00,FT,3,0,30,10,2016
81,16929,78,2016,78-2016-10,159,163,2016-11-04 19:30:00,FT,3,0,4,11,2016
82,16925,78,2016,78-2016-10,157,167,2016-11-05 14:30:00,FT,1,1,5,11,2016
83,16928,78,2016,78-2016-10,160,161,2016-11-05 14:30:00,FT,0,3,5,11,2016
84,16924,78,2016,78-2016-10,168,181,2016-11-05 14:30:00,FT,3,2,5,11,2016
85,16927,78,2016,78-2016-10,175,165,2016-11-05 14:30:00,FT,2,5,5,11,2016
86,16926,78,2016,78-2016-10,184,170,2016-11-05 14:30:00,FT,0,2,5,11,2016
87,16923,78,2016,78-2016-10,169,192,2016-11-05 17:30:00,FT,1,0,5,11,2016
88,16922,78,2016,78-2016-10,173,164,2016-11-06 14:30:00,FT,3,1,6,11,2016
89,16921,78,2016,78-2016-10,174,162,2016-11-06 16:30:00,FT,3,1,6,11,2016
90,16920,78,2016,78-2016-11,168,173,2016-11-18 19:30:00,FT,2,3,18,11,2016
91,16919,78,2016,78-2016-11,161,174,2016-11-19 14:30:00,FT,0,1,19,11,2016
92,16915,78,2016,78-2016-11,163,192,2016-11-19 14:30:00,FT,1,2,19,11,2016
93,16917,78,2016,78-2016-11,164,160,2016-11-19 14:30:00,FT,4,2,19,11,2016
94,16916,78,2016,78-2016-11,170,159,2016-11-19 14:30:00,FT,0,0,19,11,2016
95,16918,78,2016,78-2016-11,181,184,2016-11-19 14:30:00,FT,0,1,19,11,2016
96,16914,78,2016,78-2016-11,165,157,2016-11-19 17:30:00,FT,1,0,19,11,2016
97,16913,78,2016,78-2016-11,167,175,2016-11-20 14:30:00,FT,2,2,20,11,2016
98,16912,78,2016,78-2016-11,162,169,2016-11-20 16:30:00,FT,1,2,20,11,2016
99,16911,78,2016,78-2016-12,160,173,2016-11-25 19:30:00,FT,1,4,25,11,2016
100,16906,78,2016,78-2016-12,163,167,2016-11-26 14:30:00,FT,1,1,26,11,2016
101,16907,78,2016,78-2016-12,169,165,2016-11-26 14:30:00,FT,2,1,26,11,2016
102,16910,78,2016,78-2016-12,175,162,2016-11-26 14:30:00,FT,2,2,26,11,2016
103,16908,78,2016,78-2016-12,184,161,2016-11-26 14:30:00,FT,1,1,26,11,2016
104,16909,78,2016,78-2016-12,192,170,2016-11-26 14:30:00,FT,0,0,26,11,2016
105,16905,78,2016,78-2016-12,157,168,2016-11-26 17:30:00,FT,2,1,26,11,2016
106,16904,78,2016,78-2016-12,174,181,2016-11-27 14:30:00,FT,3,1,27,11,2016
107,16903,78,2016,78-2016-12,159,164,2016-11-27 16:30:00,FT,2,1,27,11,2016
108,16902,78,2016,78-2016-13,164,157,2016-12-02 19:30:00,FT,1,3,2,12,2016
109,16900,78,2016,78-2016-13,161,159,2016-12-03 14:30:00,FT,2,3,3,12,2016
110,16901,78,2016,78-2016-13,162,184,2016-12-03 14:30:00,FT,2,1,3,12,2016
111,16899,78,2016,78-2016-13,165,163,2016-12-03 14:30:00,FT,4,1,3,12,2016
112,16897,78,2016,78-2016-13,167,192,2016-12-03 14:30:00,FT,4,0,3,12,2016
113,16898,78,2016,78-2016-13,168,160,2016-12-03 14:30:00,FT,1,1,3,12,2016
114,16896,78,2016,78-2016-13,173,174,2016-12-03 17:30:00,FT,2,1,3,12,2016
115,16895,78,2016,78-2016-13,181,175,2016-12-04 14:30:00,FT,0,2,4,12,2016
116,16894,78,2016,78-2016-13,170,169,2016-12-04 16:30:00,FT,1,1,4,12,2016
117,16893,78,2016,78-2016-14,169,167,2016-12-09 19:30:00,FT,0,0,9,12,2016
118,16888,78,2016,78-2016-14,157,161,2016-12-10 14:30:00,FT,5,0,10,12,2016
119,16892,78,2016,78-2016-14,160,181,2016-12-10 14:30:00,FT,1,0,10,12,2016
120,16891,78,2016,78-2016-14,175,170,2016-12-10 14:30:00,FT,1,0,10,12,2016
121,16889,78,2016,78-2016-14,184,173,2016-12-10 14:30:00,FT,1,0,10,12,2016
122,16890,78,2016,78-2016-14,192,165,2016-12-10 14:30:00,FT,1,1,10,12,2016
123,16887,78,2016,78-2016-14,159,162,2016-12-10 17:30:00,FT,0,1,10,12,2016
124,16886,78,2016,78-2016-14,163,164,2016-12-11 14:30:00,FT,1,0,11,12,2016
125,16885,78,2016,78-2016-14,174,168,2016-12-11 16:30:00,FT,0,1,11,12,2016
126,16884,78,2016,78-2016-15,167,165,2016-12-16 19:30:00,FT,2,2,16,12,2016
127,16883,78,2016,78-2016-15,162,192,2016-12-17 14:30:00,FT,1,1,17,12,2016
128,16881,78,2016,78-2016-15,164,175,2016-12-17 14:30:00,FT,3,1,17,12,2016
129,16879,78,2016,78-2016-15,170,163,2016-12-17 14:30:00,FT,1,0,17,12,2016
130,16882,78,2016,78-2016-15,173,159,2016-12-17 14:30:00,FT,2,0,17,12,2016
131,16880,78,2016,78-2016-15,174,160,2016-12-17 14:30:00,FT,1,1,17,12,2016
132,16878,78,2016,78-2016-15,161,169,2016-12-17 17:30:00,FT,1,0,17,12,2016
