,SeasonApiId,SeasonYear,StartDate,EndDate
0,2016,2016,2016-08-26 00:00:00,2017-05-20 00:00:00
1,2017,2017,2017-08-18 00:00:00,2018-05-12 00:00:00
2,2018,2018,2018-08-24 00:00:00,2019-05-27 00:00:00
3,2019,2019,2019-08-16 00:00:00,2020-07-06 00:00:00
4,2020,2020,2020-09-18 00:00:00,2021-05-29 00:00:00
5,2021,2021,2021-08-13 00:00:00,2022-05-23 00:00:00
6,2022,2022,2022-08-05 00:00:00,2023-06-05 00:00:00
7,2023,2023,2023-08-18 00:00:00,2024-05-27 00:00:00
8,2024,2024,2024-08-23 00:00:00,2025-05-26 00:00:00
9,2025,2025,2025-08-22 00:00:00,2026-05-16 00:00:00
