,TeamApiId,Name,Code,Country,Founded,National,Logo
0,157,Bayern München,BAY,Germany,1900.0,False,https://media.api-sports.io/football/teams/157.png
1,159,Hertha BSC,HER,Germany,1892.0,False,https://media.api-sports.io/football/teams/159.png
2,160,SC Freiburg,FRE,Germany,1904.0,False,https://media.api-sports.io/football/teams/160.png
3,161,VfL Wolfsburg,WOL,Germany,1945.0,False,https://media.api-sports.io/football/teams/161.png
4,162,Werder Bremen,WER,Germany,1899.0,False,https://media.api-sports.io/football/teams/162.png
5,163,Borussia Mönchengladbach,MOE,Germany,1900.0,False,https://media.api-sports.io/football/teams/163.png
6,164,FSV Mainz 05,MAI,Germany,1905.0,False,https://media.api-sports.io/football/teams/164.png
7,165,Borussia Dortmund,DOR,Germany,1909.0,False,https://media.api-sports.io/football/teams/165.png
8,167,1899 Hoffenheim,HOF,Germany,1899.0,False,https://media.api-sports.io/football/teams/167.png
9,168,Bayer Leverkusen,BAY,Germany,1904.0,False,https://media.api-sports.io/football/teams/168.png
10,169,Eintracht Frankfurt,EIN,Germany,1899.0,False,https://media.api-sports.io/football/teams/169.png
11,170,FC Augsburg,AUG,Germany,1907.0,False,https://media.api-sports.io/football/teams/170.png
12,173,RB Leipzig,LEI,Germany,2009.0,False,https://media.api-sports.io/football/teams/173.png
13,174,FC Schalke 04,SCH,Germany,1904.0,False,https://media.api-sports.io/football/teams/174.png
14,175,Hamburger SV,HAM,Germany,1887.0,False,https://media.api-sports.io/football/teams/175.png
15,181,SV Darmstadt 98,DAR,Germany,1898.0,False,https://media.api-sports.io/football/teams/181.png
16,184,FC Ingolstadt 04,ING,Germany,2004.0,False,https://media.api-sports.io/football/teams/184.png
17,192,1.FC Köln,KOL,Germany,1948.0,False,https://media.api-sports.io/football/teams/192.png
18,166,Hannover 96,HAN,Germany,1896.0,False,https://media.api-sports.io/football/teams/166.png
19,172,VfB Stuttgart,STU,Germany,1893.0,False,https://media.api-sports.io/football/teams/172.png
20,158,Fortuna Düsseldorf,DUS,Germany,1895.0,False,https://media.api-sports.io/football/teams/158.png
21,171,1. FC Nürnberg,NUR,Germany,1900.0,False,https://media.api-sports.io/football/teams/171.png
22,182,Union Berlin,UNI,Germany,1966.0,False,https://media.api-sports.io/football/teams/182.png
23,180,1. FC Heidenheim,HEI,Germany,1946.0,False,https://media.api-sports.io/football/teams/180.png
24,185,SC Paderborn 07,PAD,Germany,1907.0,False,https://media.api-sports.io/football/teams/185.png
25,188,Arminia Bielefeld,ARM,Germany,1905.0,False,https://media.api-sports.io/football/teams/188.png
26,191,Holstein Kiel,HOL,Germany,1900.0,False,https://media.api-sports.io/football/teams/191.png
27,176,VfL Bochum,BOC,Germany,1848.0,False,https://media.api-sports.io/football/teams/176.png
28,178,SpVgg Greuther Fürth,GRE,Germany,1903.0,False,https://media.api-sports.io/football/teams/178.png
29,186,FC St. Pauli,PAU,Germany,1910.0,False,https://media.api-sports.io/football/teams/186.png
30,1660,SV Elversberg,ELV,Germany,1907.0,False,https://media.api-sports.io/football/teams/1660.png
31,33,Manchester United,MUN,England,1878.0,False,https://media.api-sports.io/football/teams/33.png
32,35,Bournemouth,BOU,England,1899.0,False,https://media.api-sports.io/football/teams/35.png
33,38,Watford,WAT,England,1881.0,False,https://media.api-sports.io/football/teams/38.png
34,40,Liverpool,LIV,England,1892.0,False,https://media.api-sports.io/football/teams/40.png
35,41,Southampton,SOU,England,1885.0,False,https://media.api-sports.io/football/teams/41.png
36,42,Arsenal,ARS,England,1886.0,False,https://media.api-sports.io/football/teams/42.png
37,44,Burnley,BUR,England,1882.0,False,https://media.api-sports.io/football/teams/44.png
38,45,Everton,EVE,England,1878.0,False,https://media.api-sports.io/football/teams/45.png
39,46,Leicester,LEI,England,1884.0,False,https://media.api-sports.io/football/teams/46.png
40,47,Tottenham,TOT,England,1882.0,False,https://media.api-sports.io/football/teams/47.png
41,48,West Ham,WES,England,1895.0,False,https://media.api-sports.io/football/teams/48.png
42,49,Chelsea,CHE,England,1905.0,False,https://media.api-sports.io/football/teams/49.png
43,50,Manchester City,MAC,England,1880.0,False,https://media.api-sports.io/football/teams/50.png
44,52,Crystal Palace,CRY,England,1861.0,False,https://media.api-sports.io/football/teams/52.png
45,60,West Brom,WES,England,1878.0,False,https://media.api-sports.io/football/teams/60.png
46,64,Hull City,HUL,England,1904.0,False,https://media.api-sports.io/football/teams/64.png
47,70,Middlesbrough,MID,England,1876.0,False,https://media.api-sports.io/football/teams/70.png
48,75,Stoke City,STO,England,1868.0,False,https://media.api-sports.io/football/teams/75.png
49,76,Swansea,SWA,Wales,1912.0,False,https://media.api-sports.io/football/teams/76.png
50,746,Sunderland,SUN,England,1879.0,False,https://media.api-sports.io/football/teams/746.png
51,34,Newcastle,NEW,England,1892.0,False,https://media.api-sports.io/football/teams/34.png
52,37,Huddersfield,HUD,England,1908.0,False,https://media.api-sports.io/football/teams/37.png
53,51,Brighton,BRI,England,1901.0,False,https://media.api-sports.io/football/teams/51.png
54,36,Fulham,FUL,England,1879.0,False,https://media.api-sports.io/football/teams/36.png
55,39,Wolves,WOL,England,1877.0,False,https://media.api-sports.io/football/teams/39.png
56,43,Cardiff,CAR,Wales,1889.0,False,https://media.api-sports.io/football/teams/43.png
57,62,Sheffield Utd,SHE,England,1889.0,False,https://media.api-sports.io/football/teams/62.png
58,66,Aston Villa,AST,England,1874.0,False,https://media.api-sports.io/football/teams/66.png
59,71,Norwich,NOR,England,1902.0,False,https://media.api-sports.io/football/teams/71.png
60,63,Leeds,LEE,England,1919.0,False,https://media.api-sports.io/football/teams/63.png
61,55,Brentford,BRE,England,1889.0,False,https://media.api-sports.io/football/teams/55.png
62,65,Nottingham Forest,NOT,England,1865.0,False,https://media.api-sports.io/football/teams/65.png
63,1359,Luton,LUT,England,1885.0,False,https://media.api-sports.io/football/teams/1359.png
64,57,Ipswich,IPS,England,1878.0,False,https://media.api-sports.io/football/teams/57.png
65,529,Barcelona,BAR,Spain,1899.0,False,https://media.api-sports.io/football/teams/529.png
66,530,Atletico Madrid,MAD,Spain,1903.0,False,https://media.api-sports.io/football/teams/530.png
67,531,Athletic Club,BIL,Spain,1898.0,False,https://media.api-sports.io/football/teams/531.png
68,532,Valencia,VAL,Spain,1919.0,False,https://media.api-sports.io/football/teams/532.png
69,533,Villarreal,VIL,Spain,1923.0,False,https://media.api-sports.io/football/teams/533.png
70,534,Las Palmas,PAL,Spain,1949.0,False,https://media.api-sports.io/football/teams/534.png
71,535,Malaga,MAL,Spain,1948.0,False,https://media.api-sports.io/football/teams/535.png
72,536,Sevilla,SEV,Spain,1890.0,False,https://media.api-sports.io/football/teams/536.png
73,537,Leganes,LEG,Spain,1928.0,False,https://media.api-sports.io/football/teams/537.png
74,538,Celta Vigo,CEL,Spain,1923.0,False,https://media.api-sports.io/football/teams/538.png
75,540,Espanyol,ESP,Spain,1900.0,False,https://media.api-sports.io/football/teams/540.png
76,541,Real Madrid,REA,Spain,1902.0,False,https://media.api-sports.io/football/teams/541.png
77,542,Alaves,ALA,Spain,1921.0,False,https://media.api-sports.io/football/teams/542.png
78,543,Real Betis,BET,Spain,1907.0,False,https://media.api-sports.io/football/teams/543.png
79,544,Deportivo La Coruna,COR,Spain,1906.0,False,https://media.api-sports.io/football/teams/544.png
80,545,Eibar,EIB,Spain,1940.0,False,https://media.api-sports.io/football/teams/545.png
81,548,Real Sociedad,RSO,Spain,1909.0,False,https://media.api-sports.io/football/teams/548.png
82,715,Granada CF,GRA,Spain,1931.0,False,https://media.api-sports.io/football/teams/715.png
83,727,Osasuna,OSA,Spain,1920.0,False,https://media.api-sports.io/football/teams/727.png
84,731,Sporting Gijon,GIJ,Spain,1905.0,False,https://media.api-sports.io/football/teams/731.png
